City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,jinghong,21.991,100.7341,14.95,92,11,0.9,CN,1702759488
326,aykhal,66.0,111.5,-29.87,100,99,3.28,RU,1702759488
327,newman,37.3138,-121.0208,17.92,54,3,0.89,US,1702759418
328,st. john's,47.5649,-52.7093,-0.12,54,75,10.29,CA,1702759440
329,waldmunchen,49.3786,12.7042,1.83,92,13,1.95,DE,1702759488
330,lewiston orchards,46.3804,-116.9754,7.37,71,100,1.25,US,1702759488
331,cabo san lucas,22.8909,-109.9124,29.61,58,20,2.06,MX,1702759184
332,la ronge,55.1001,-105.2842,1.14,44,0,11.32,CA,1702759417
333,island harbour,50.724,-1.2758,11.04,91,95,3.58,GB,1702759436
334,ondjiva,-17.0667,15.7333,27.97,24,71,1.73,AO,1702759489
335,tecumseh,42.0039,-83.9449,9.95,60,0,3.6,US,1702759489
336,chui,-33.6971,-53.4616,25.09,79,40,4.12,UY,1702759489
337,robore,-18.3333,-59.75,39.22,19,98,4.77,BO,1702759489
338,gadzhiyevo,69.2551,33.3362,-5.91,90,100,8.29,RU,1702759408
339,kletskaya,49.3145,43.0584,-3.62,90,100,2.71,RU,1702759489
340,ugoofaaru,5.6667,73.0,27.94,73,78,2.05,MV,1702759489
341,high rock,26.6208,-78.2833,22.01,79,100,13.17,BS,1702759489
342,brookings,44.3114,-96.7984,0.21,100,100,6.17,US,1702759489
343,wenchang,30.904,118.4887,-2.1,65,61,2.39,CN,1702759490
344,gebeit,21.0667,36.3167,19.14,68,8,3.18,SD,1702759490
345,manta,-0.95,-80.7333,27.88,74,20,6.71,EC,1702759490
346,toba,34.4833,136.85,8.0,57,53,3.58,JP,1702759490
347,taulaga,-11.0553,-171.0883,28.67,73,98,1.35,AS,1702759490
348,tongouson,5.0214,120.1328,27.47,79,100,4.44,PH,1702759490
349,erenhot,43.6475,111.9767,-21.46,91,6,3.23,CN,1702759490
350,quelimane,-17.8786,36.8883,27.97,83,20,5.36,MZ,1702759490
351,tajerouine,35.8917,8.5528,5.9,86,97,3.86,TN,1702759490
352,nalut,30.3333,10.85,10.3,50,43,2.58,LY,1702759490
353,belvedere marittimo,39.6179,15.8617,7.69,72,21,4.32,IT,1702759491
354,vadso,70.0744,29.7487,-3.91,93,100,9.77,NO,1702759396
355,port douglas,-16.4833,145.4667,25.59,94,100,6.52,AU,1702759491
356,chake chake,-5.2459,39.7666,25.43,87,51,3.15,TZ,1702759491
357,birganj,27.0104,84.8774,13.83,65,8,1.26,NP,1702759491
358,trondheim,63.4305,10.3951,5.05,88,62,3.58,NO,1702759253
359,toamasina,-18.1667,49.3833,25.0,88,40,1.54,MG,1702759491
360,dogondoutchi,13.6393,4.0287,22.65,14,57,4.24,NE,1702759491
361,magadan,59.5667,150.8,-16.73,79,100,6.36,RU,1702759491
362,campo maior,-4.8278,-42.1686,30.63,50,81,3.27,BR,1702759491
